updatedAt,description,tags,duration,userId,category,createdAt,caption,media,location,timestamp,name,id,favoriteCount,likes,favorites,likeCount
2025-03-31 13:05:12.132000+00:00,the fruits are really refreshing. I come to this street market every Saturday,"['ephemeral', 'rare']",1-2hrs,ENcLfPNB14Q47XorkUQ0fu0V7Bw2,public-event,2025-03-31 13:05:12.132000+00:00,amazing fresh morning,"[{'fileName': '1743426311652_4qkrjxf3tmv.jpeg', 'type': 'image', 'url': 'https://firebasestorage.googleapis.com/v0/b/odyssey-0209vaibhav.firebasestorage.app/o/mementos%2FENcLfPNB14Q47XorkUQ0fu0V7Bw2%2F1743426311652_4qkrjxf3tmv.jpeg?alt=media&token=8e6a6aaa-bf89-4d30-b53d-677ae1cea378'}]","{'address': '8 W 108th St, New York, NY 10025, USA', 'coordinates': {'latitude': 40.7999202, 'longitude': -73.96091799999999}}",2025-03-31T13:05:00.000Z,Saturday street market,8YT0QfwmJBFLnLtG3wBI,,,,
2025-03-31 16:30:55.803000+00:00,,['ephemeral'],15min-1hr,CArEkuI4ZBYU41aJ6T5DRgE71l83,sky-weather,2025-03-31 16:30:55.803000+00:00,amazing contrast of sunlight and shadow on the building,"[{'fileName': '1743438655163_la8oeedw797.jpg', 'type': 'image', 'url': 'https://firebasestorage.googleapis.com/v0/b/odyssey-0209vaibhav.firebasestorage.app/o/mementos%2FCArEkuI4ZBYU41aJ6T5DRgE71l83%2F1743438655163_la8oeedw797.jpg?alt=media&token=aac71a12-f12b-45e1-b3f5-8e49d691b3e5'}]","{'address': '2840 Broadway, New York, NY 10025, USA', 'coordinates': {'latitude': 40.8042464, 'longitude': -73.966287}}",2025-03-30T22:30:00.000Z,Dramatic sunset,BlIM2l9CabeaLIUJtJi6,0.0,['CArEkuI4ZBYU41aJ6T5DRgE71l83'],[],1.0
2025-03-31 18:27:22.070000+00:00,It was momentary peace from a chaotic environment.,"['ephemeral', 'emotional', 'reflective']",less-than-15min,Ytm65xImF1bqIUWUr9W0195rlrO2,poetic,2025-03-31 18:27:22.070000+00:00,Captures a sunset from my desk at Avery Hall,"[{'fileName': '1743445642187_60jkdx08izp.jpg', 'type': 'image', 'url': 'https://firebasestorage.googleapis.com/v0/b/odyssey-0209vaibhav.firebasestorage.app/o/mementos%2FYtm65xImF1bqIUWUr9W0195rlrO2%2F1743445642187_60jkdx08izp.jpg?alt=media&token=582fc337-b663-4be1-bf6f-04d289e70f89'}]","{'address': '443 W 135th St, New York, NY 10031, USA', 'coordinates': {'latitude': 40.8180976, 'longitude': -73.9499311}}",2025-03-31T18:21:08.230Z,view from my desk at Avery,QXp0KuQ3XtNBhjZvYcPd,,,,
2025-05-02 14:47:05.061000+00:00,Group of students protesting in Columbia campus,"['ephemeral', 'emotional', 'unpleasant']",15min-1hr,CArEkuI4ZBYU41aJ6T5DRgE71l83,public-event,2025-05-02 14:47:05.061000+00:00,,"[{'fileName': '1746197224574_3r85xjc32d5.mp4', 'type': 'video', 'url': 'https://firebasestorage.googleapis.com/v0/b/odyssey-0209vaibhav.firebasestorage.app/o/mementos%2FCArEkuI4ZBYU41aJ6T5DRgE71l83%2F1746197224574_3r85xjc32d5.mp4?alt=media&token=97ee7010-3f83-4db3-8306-b51d1c0de71b'}]","{'address': '2960 Broadway, New York, NY 10027, USA', 'coordinates': {'latitude': 40.8082334, 'longitude': -73.9618361}}",2025-06-03T01:25,Protest,XTd6nQhhINT6VA1YVVCj,,,,
2025-04-30 00:00:32.050000+00:00,Just a testing memento for demo. Explore other mementos!,"['hidden', 'beginner', 'unpleasant']",eternal,CArEkuI4ZBYU41aJ6T5DRgE71l83,poetic,2025-04-30 00:00:32.050000+00:00,,"[{'fileName': '1745971231550_tghnhe455f7.png', 'type': 'image', 'url': 'https://firebasestorage.googleapis.com/v0/b/odyssey-0209vaibhav.firebasestorage.app/o/mementos%2FCArEkuI4ZBYU41aJ6T5DRgE71l83%2F1745971231550_tghnhe455f7.png?alt=media&token=b908c7c9-1f0a-40b3-bbf5-fb3b912c3967'}]","{'address': '8 W 108th St, New York, NY 10025, USA', 'coordinates': {'latitude': 40.7999202, 'longitude': -73.96091799999999}}",1999-02-09T14:09,Testing 1,Yy3eIIRtjYTkE6vEoIVE,,['CArEkuI4ZBYU41aJ6T5DRgE71l83'],,1.0
2025-03-31 16:52:31.745000+00:00,"I saw this festival organized by the students for the first time. There are so many things like food stalls,people doing karate, cake smash etc etc.lot of fun","['ephemeral', 'niche', 'unexpected', 'rare']",1-2hrs,CArEkuI4ZBYU41aJ6T5DRgE71l83,cultural,2025-03-31 16:52:31.745000+00:00,Columbia students celebrating the festival,"[{'fileName': '1743439950784_gpjxvqvvzv8.jpg', 'type': 'image', 'url': 'https://firebasestorage.googleapis.com/v0/b/odyssey-0209vaibhav.firebasestorage.app/o/mementos%2FCArEkuI4ZBYU41aJ6T5DRgE71l83%2F1743439950784_gpjxvqvvzv8.jpg?alt=media&token=d1c73290-9dd8-4a91-bad1-76fe52c2c8d7'}]","{'address': '116th and Broadway, New York, NY 10027, USA', 'coordinates': {'latitude': 40.8075355, 'longitude': -73.9625727}}",2025-03-28T19:00:00.000Z,cherry blossam festival,eAfNoC939kt8EmFYwrXZ,1.0,['CArEkuI4ZBYU41aJ6T5DRgE71l83'],['CArEkuI4ZBYU41aJ6T5DRgE71l83'],1.0
2025-04-14 17:48:37.662000+00:00,these boxes are ruining our sidewalks and walking space,"['unmapped', 'emotional', 'unexpected', 'reflective', 'unpleasant']",15min-1hr,ENcLfPNB14Q47XorkUQ0fu0V7Bw2,unpleasant,2025-04-14 17:48:37.662000+00:00,sidewalk cafe bulky and ugly,"[{'fileName': '1744652917707_26dx4x3zb6a.jpg', 'type': 'image', 'url': 'https://firebasestorage.googleapis.com/v0/b/odyssey-0209vaibhav.firebasestorage.app/o/mementos%2FENcLfPNB14Q47XorkUQ0fu0V7Bw2%2F1744652917707_26dx4x3zb6a.jpg?alt=media&token=98602d5a-3656-4eb1-b64f-400ca2a3b359'}]","{'address': '1700 Broadway, New York, NY 10019, USA', 'coordinates': {'latitude': 40.7634991, 'longitude': -73.9824472}}",2025-04-14T17:48:00.000Z,sidewalk cafe,ejThN5eTRrREk8HYGqoW,,,,
2025-03-31 06:56:52.925000+00:00,it feels so good to see central park blooming again,['reflective'],12-24hrs,CArEkuI4ZBYU41aJ6T5DRgE71l83,urban-nature,2025-03-31 06:56:52.925000+00:00,spring central park,"[{'fileName': '1743404211947_ohud4016pk.jpg', 'type': 'image', 'url': 'https://firebasestorage.googleapis.com/v0/b/odyssey-0209vaibhav.firebasestorage.app/o/mementos%2FCArEkuI4ZBYU41aJ6T5DRgE71l83%2F1743404211947_ohud4016pk.jpg?alt=media&token=53336f22-e0f4-4600-8090-a0031dd194e4'}]","{'address': 'New York, NY, USA', 'coordinates': {'latitude': 40.7825547, 'longitude': -73.9655834}}",2025-03-31T06:56:00.000Z,central park,j2BdWoGNXrTrkaA75kWQ,1.0,['CArEkuI4ZBYU41aJ6T5DRgE71l83'],['CArEkuI4ZBYU41aJ6T5DRgE71l83'],1.0
2025-05-02 16:02:50.855000+00:00,Pioneer works study visit for the CDP students visiting the exhibition and glassworks by an artist,['emotional'],1-2hrs,CArEkuI4ZBYU41aJ6T5DRgE71l83,experimental,2025-05-02 16:02:50.855000+00:00,,"[{'fileName': '1746201771217_1sa89ys0hbp.jpg', 'type': 'image', 'url': 'https://firebasestorage.googleapis.com/v0/b/odyssey-0209vaibhav.firebasestorage.app/o/mementos%2FCArEkuI4ZBYU41aJ6T5DRgE71l83%2F1746201771217_1sa89ys0hbp.jpg?alt=media&token=54f9b202-4682-4d61-bffb-b87bc2b00329'}]","{'address': '159 Pioneer St, Brooklyn, NY 11231, USA', 'coordinates': {'latitude': 40.6792483, 'longitude': -74.012154}}",2025-02-12T03:54,CDP studio Visit,or208FtPRjgmjNQsqrim,,,,
2025-04-28 16:13:32.339000+00:00,i saw them listening to jazz music and then dancing with whoebever was interested. so much fun!!!!!!,"['unmapped', 'emotional', 'unexpected', 'ephemeral']",1-2hrs,CArEkuI4ZBYU41aJ6T5DRgE71l83,mood-music,2025-04-28 16:13:32.339000+00:00,,"[{'fileName': '1745856810693_ax5fmhz6zis.jpeg', 'type': 'image', 'url': 'https://firebasestorage.googleapis.com/v0/b/odyssey-0209vaibhav.firebasestorage.app/o/mementos%2FCArEkuI4ZBYU41aJ6T5DRgE71l83%2F1745856810693_ax5fmhz6zis.jpeg?alt=media&token=281056c0-60c8-49b3-8be5-7971b1e81f57'}]","{'address': '116th and Broadway, New York, NY 10027, USA', 'coordinates': {'latitude': 40.8075355, 'longitude': -73.9625727}}",2025-04-28T12:13,people dacning in cmpus,pduvb7zuyoBuaTmorOzy,,[],,0.0
