userId,location,media,name,description,category,timestamp,tags,link,mementoType,duration,predicted_category,category_confidence,predicted_tags,tags_confidence,predicted_duration,duration_confidence,validation_results,processing_status,mementoTags
Source / Edwina Hay,{},['https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2025/05/08121029/BRIC-Celebrate-Brooklyn-1024x683.jpg'],Free Summer Concerts Return To Prospect Park With BRIC Celebrate Brooklyn!,"As NYC dwellers we all make jokes about how it costs $200 just to step outside our apartment, but once the weather starts to warm up it’s hard to stay cooped up indoors. And now that summer is approaching–oh, and it’s going to be ahotter and rainier one than usualat that–we’ll find every excuse we can to be outdoors (on the sunny days, of course! ). Thankfully, there’s tons offree programmingheading to NYC so we can enjoy our time al fresco while still being able to afford abagelfor breakfast the next morning, andBRIC Celebrate Brooklyn! is joining in on the fun.",Other,"May 08, 2025 at 05:34 PM",['Other'],https://secretnyc.co/bric-celebrate-brooklyn-2025/,public,1h,urban-nature,0.19906782491790923,['reflective'],0.5301551364521297,12-24hrs,0.19865456426279732,"{'is_valid': False, 'validation_details': {'category': {'valid': False, 'reason': 'Low confidence: 0.20 < 0.4'}, 'tags': {'valid': True, 'reason': 'Valid prediction'}, 'duration': {'valid': False, 'reason': 'Low confidence: 0.20 < 0.4'}}, 'reasons': ['Low confidence: 0.20 < 0.4', 'Valid prediction', 'Low confidence: 0.20 < 0.4']}",success,
Source / Michael Bodycomb & Joe Coscia,"{'latitude': 40.7360717, 'longitude': -73.9901888}",['https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2024/02/03162856/01_Magnolias_2015_2000-1-_433EA731-5056-A36F-236AB06468B09052-433ea0f95056a36_433ec0dc-5056-a36f-236aad466bcde086-1024x683.jpeg'],30 Best Things To Do In NYC This Spring: The Ultimate Bucket List,"Sure, sometimes it seems uncertain that the warmth will ever stick around long enough to properly enjoy it, but considering it’s almost spring and the sun has been shining quite a lot, it’s safe to say winter is almost behind us. Which is to say, it’s time to do some exploring! If you’re looking for plans during this magical time of year, here’s a list ofthe best things to see and do in NYC this spring! You can spend a beautiful day walking around NYC taking totally Instagrammable pictures with the pink and white blooms. Althoughpredictions are pointing towards a later mid-April bloom, we can still expect a city of full beautiful colors this spring.",Other,"May 09, 2025 at 11:03 PM",['Other'],https://secretnyc.co/best-things-to-do-in-spring-nyc/,public,1h,poetic,0.17537682607299954,['reflective'],0.5064601496064736,15min-1hr,0.1943255318972652,"{'is_valid': False, 'validation_details': {'category': {'valid': False, 'reason': 'Low confidence: 0.18 < 0.4'}, 'tags': {'valid': True, 'reason': 'Valid prediction'}, 'duration': {'valid': False, 'reason': 'Low confidence: 0.19 < 0.4'}}, 'reasons': ['Low confidence: 0.18 < 0.4', 'Valid prediction', 'Low confidence: 0.19 < 0.4']}",success,
Source / The Great Nosh,"{'latitude': 40.7607445, 'longitude': -73.9224809}",['https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2025/05/08154259/tgn3-1024x677.jpg'],"A New Jewish Food Festival Is Debuting On Governors Island — Including Chef Collabs, Cooking Demos & More","Foodies, rejoice. A brand new food festival is entering the villa. The Great Nosh picnicis set todebut on Governors Islandthis summer, promising a “new kind of Jewish food and culture festival. ” The festival is being presented byThe Jewish Food SocietyonJune 22, 2025, and is set to bring together people of all backgrounds toenjoy art, live music, engaging cooking demos, and one-of-a-kind dish collaborations from thoughtfully paired chefs and restaurants. “The Great Nosh is about joy, culture, and celebrating our city,” saidNaama Shefi, founder of the Jewish Food Society and visionary behind The Great Nosh.",Other,"May 09, 2025 at 02:17 PM",['Other'],https://secretnyc.co/the-great-nosh-picnic-festival-2025/,public,1h,poetic,0.17873259505200165,['emotional'],0.5001266911967153,15min-1hr,0.19606762054849658,"{'is_valid': False, 'validation_details': {'category': {'valid': False, 'reason': 'Low confidence: 0.18 < 0.4'}, 'tags': {'valid': True, 'reason': 'Valid prediction'}, 'duration': {'valid': False, 'reason': 'Low confidence: 0.20 < 0.4'}}, 'reasons': ['Low confidence: 0.18 < 0.4', 'Valid prediction', 'Low confidence: 0.20 < 0.4']}",success,
Source / Shutterstock / Mapan,"{'latitude': 40.691887, 'longitude': -73.9105203}",['https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2020/02/19052131/Brooklyn-Bridge-at-sunset-1024x683.jpg'],The Best Free Things To Do In NYC Right Now,"There’s no arguing that NYC is on the pricer side, but trust us when we tell you there are plenty of coolfree things to do in NYCthat are worthy of your attention. Whether it’s exploringnew exhibitson free museum admission days, having a look atoutdoor installations, or joiningreading clubsat your localNew York Public Librarybranch, offerings abound. Sure, these perks might not be so easy to uncover, but that’s why we’re here. We’ve got your back! What catches your eye on our list of free things to do in NYC?",Other,"May 02, 2025 at 08:33 PM",['Other'],https://secretnyc.co/free-things-to-do-nyc/,public,1h,poetic,0.17873259505200165,['emotional'],0.5001266911967153,15min-1hr,0.19606762054849658,"{'is_valid': False, 'validation_details': {'category': {'valid': False, 'reason': 'Low confidence: 0.18 < 0.4'}, 'tags': {'valid': True, 'reason': 'Valid prediction'}, 'duration': {'valid': False, 'reason': 'Low confidence: 0.20 < 0.4'}}, 'reasons': ['Low confidence: 0.18 < 0.4', 'Valid prediction', 'Low confidence: 0.20 < 0.4']}",success,
Source / Courtesy: Unsplash/Florian Wehde,"{'latitude': 40.7113675, 'longitude': -74.0132704}",['https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2022/03/12125236/florian-wehde-V4cHacmEnW8-unsplash-1024x683.jpg'],55 Amazing Things To Do In NYC This Weekend: May 9 – 11,"Searching for thebest things to do this weekend in NYC? We have you covered. Saturdays and Sundays are precious real estate, and you wouldn’t want to waste your time with subpar events. Fortunately for you, we found the coolest and most exciting activities the city has to offer, from seasonal happenings and cool shows to delicious new bites and can’t-miss exhibits. Start off with somebrunch, peruse our recs, and then head out on your merry way.",Other,"May 09, 2025 at 08:11 PM",['Other'],https://secretnyc.co/what-to-do-this-weekend-nyc/,public,1h,public-event,0.1791969334745917,['ephemeral'],0.5151133560173494,15min-1hr,0.2009971468976264,"{'is_valid': False, 'validation_details': {'category': {'valid': False, 'reason': 'Low confidence: 0.18 < 0.4'}, 'tags': {'valid': True, 'reason': 'Valid prediction'}, 'duration': {'valid': False, 'reason': 'Low confidence: 0.20 < 0.4'}}, 'reasons': ['Low confidence: 0.18 < 0.4', 'Valid prediction', 'Low confidence: 0.20 < 0.4']}",success,
Source / Instagram / @islandoyster,"{'latitude': 40.7224756, 'longitude': -73.9829662}",['https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2021/05/19164305/New-Project-2-1-1024x683.jpg'],43 Marvelous Things To Do In NYC In May 2025,"As a new season approaches, NYC’s energy will soon be shifting intosummermode. But before we get there, let’s not forget thatMay is totally jam-packed with fun things to look forward to. That said, we’ve put together a giant list below of all themust-do activities happening this monthin the city. Let’s get into it: Cinco de Mayo(Monday, May 5th)commemorates Mexico’s victory against France in the 1862 Battle of Puebla, and the city’s Cinco de Mayo happenings are a way for Mexican-Americans to celebrate their cultural heritage and show off their pride. Find some of thebest ways to celebrate the holiday in NYC.",Other,"April 29, 2024 at 03:09 PM",['Other'],https://secretnyc.co/things-to-do-may-nyc/,public,1h,public-event,0.182188152413856,['ephemeral'],0.5046200599622721,15min-1hr,0.19460819387908135,"{'is_valid': False, 'validation_details': {'category': {'valid': False, 'reason': 'Low confidence: 0.18 < 0.4'}, 'tags': {'valid': True, 'reason': 'Valid prediction'}, 'duration': {'valid': False, 'reason': 'Low confidence: 0.19 < 0.4'}}, 'reasons': ['Low confidence: 0.18 < 0.4', 'Valid prediction', 'Low confidence: 0.19 < 0.4']}",success,
Source / Uptown Night Market,{},['https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2025/05/08102231/Uptown-Night-Market-1024x683.jpg'],Uptown Night Market Returns To Harlem Tonight With 50+ Diverse Vendors,"NYC’s most popular and Manhattan’s largest food festival, Uptown Night Market, is making its long-awaitedreturn to Harlem for its fifth season tonight, Thursday, May 8th. And whether you’re a committed NYC foodie or just looking for a place to surround yourself with good company, it’s certainly the place you’ll want to be. Uptown Night Market is a vibrant celebration meant to amplify the vibrancy of Harlem’s rich culinary scene, community spirit, and cultural diversity, as well as support its small businesses, artisans, and entrepreneurs. Every Thursday night from May through October, over 50 diverse vendors and more than 15,000 guestsmake their way to the famous Harlem Arches on 12th Ave. and 133rd Street to get a taste of the best offerings from Harlem’s rich African-American, African, Caribbean, Hispanic, and European culture.",Other,"May 09, 2025 at 11:03 PM",['Other'],https://secretnyc.co/uptown-night-market-nyc-2025/,public,1h,public-event,0.20408948853861278,"['ephemeral', 'local', 'social-heavy', 'touristy', 'unexpected']",0.5349277861317967,6-12hrs,0.1994788474663858,"{'is_valid': False, 'validation_details': {'category': {'valid': False, 'reason': 'Low confidence: 0.20 < 0.4'}, 'tags': {'valid': True, 'reason': 'Valid prediction'}, 'duration': {'valid': False, 'reason': 'Low confidence: 0.20 < 0.4'}}, 'reasons': ['Low confidence: 0.20 < 0.4', 'Valid prediction', 'Low confidence: 0.20 < 0.4']}",success,
Source / New York Aquarium,"{'latitude': 40.5748148, 'longitude': -74.0061167}",['https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2024/06/11152748/new-york-aquarium-1024x683.jpeg'],30 Best Things To Do With Kids In NYC,"Even the littlest New Yorkers want to take a bite out of the Big Apple — that’s where our list of things to do with kids in NYC comes in. We scoped out the city from a youngster’s vantage point — from funinteractive exhibitstoplaces to eat— and we discovered a bunch of great experiences the whole family will love. Trust us, even the pickiest of kiddos will find something up their alley. Before you peruse our guide and embark on a day out with your crew, we have one bit of advice: wear comfortable shoes. You’re gonna need ‘em.",Other,"May 07, 2025 at 09:34 PM",['Other'],https://secretnyc.co/best-things-to-do-in-nyc-kids/,public,1h,poetic,0.17873259505200165,['emotional'],0.5001266911967153,15min-1hr,0.19606762054849658,"{'is_valid': False, 'validation_details': {'category': {'valid': False, 'reason': 'Low confidence: 0.18 < 0.4'}, 'tags': {'valid': True, 'reason': 'Valid prediction'}, 'duration': {'valid': False, 'reason': 'Low confidence: 0.20 < 0.4'}}, 'reasons': ['Low confidence: 0.18 < 0.4', 'Valid prediction', 'Low confidence: 0.20 < 0.4']}",success,
Secret NYC,"{'latitude': 40.6526006, 'longitude': -73.9497211}",['https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2024/11/07111422/6_v1ztzs-1024x683.jpg'],Become A Juror For A Day At This Live Theater Courtroom Drama In NYC,"🗽 Set in the heart of NYC,The Jury Experiencetransforms you from observer to juror, immersing you in the pulse of alive courtroom drama. ⚖️ Each 60-minute session unfolds withemotionally-charged performances, placing you at the center of unpredictable legal twists and moral dilemmas. 🤔 The experience invites you toanalyze evidenceanddissect witness testimonies, encouraging thoughtful introspection. 🌀 Just as you think you’ve reached a verdict, the defense introducessurprisesthat challenge your assumptions and keep the outcome uncertain. 🏛️ Hosted atIrondalein Brooklyn, a historic and socially conscious theater space known for its innovative productions and deep community roots.",Other,"May 09, 2025 at 02:14 PM",['Other'],https://secretnyc.co/jury-experience-nyc/,public,1h,poetic,0.18741025115374507,['unpleasant'],0.5245678765924533,15min-1hr,0.19902365039798747,"{'is_valid': False, 'validation_details': {'category': {'valid': False, 'reason': 'Low confidence: 0.19 < 0.4'}, 'tags': {'valid': True, 'reason': 'Valid prediction'}, 'duration': {'valid': False, 'reason': 'Low confidence: 0.20 < 0.4'}}, 'reasons': ['Low confidence: 0.19 < 0.4', 'Valid prediction', 'Low confidence: 0.20 < 0.4']}",success,
Source / Red Velvet Burlesque,{},['https://offloadmedia.feverup.com/secretnyc.co/wp-content/uploads/2025/05/07094620/1200-x-800-Header-BrandedSponsored-5-1024x683.jpg'],Embark On A Night Of Glamour And Seduction At NYC’s Red Velvet Burlesque Cabaret Show,"Red Velvet Burlesque Showbrings glamour and sensuality to the Big Apple. The show, taking place Wednesday – Sunday, presents a dazzling production wherecabaret meets modern sensuality. Adorned in sparkling costumes, show-stopping acts will leave you breathless under the velvet lights. Red Velvet Burlesque Show presentsa new show every week, with bold choreography that will get your head spinning. The dancers interact with the audience all night long, offering aperfect blend of sexiness, glamour and fun.",Other,"May 08, 2025 at 03:45 PM",['Other'],https://secretnyc.co/red-velvet-burlesque/,public,1h,poetic,0.17873259505200165,['emotional'],0.5001266911967153,15min-1hr,0.19606762054849658,"{'is_valid': False, 'validation_details': {'category': {'valid': False, 'reason': 'Low confidence: 0.18 < 0.4'}, 'tags': {'valid': True, 'reason': 'Valid prediction'}, 'duration': {'valid': False, 'reason': 'Low confidence: 0.20 < 0.4'}}, 'reasons': ['Low confidence: 0.18 < 0.4', 'Valid prediction', 'Low confidence: 0.20 < 0.4']}",success,
